Financial Year,Age Band,Diagnosis,Count,
2008/09,0-4,Paediatric Other,3035,
2008/09,0-4,Febrile Illness (Unspecified),619,
2008/09,0-4,Wounds (Unspecified),515,
2008/09,0-4,Other No Code Suitable,376,
2008/09,0-4,Limb Injury Other (Unspec.),295,
2008/09,0-4,Diarrhoea And/Or Vomiting,273,
2008/09,0-4,Acute Resp Illness - Not Asthma/Copd/Pneumonia,213,
2008/09,0-4,Asthma,211,
2008/09,0-4,Respiratory Other,199,
2008/09,0-4,Medical Admission Other,195,
2008/09,0-4,Paed Acute Resp Illness-Not Asthma/Croup/Pneumonia,187,
2008/09,0-4,Head Injury (Unspecified),186,
2008/09,0-4,Orthopaedic/Musculoskeletal Other,167,
2008/09,0-4,Fracture +/- Dislocation (Unspecified),139,
2008/09,0-4,Rash (Unspecified),136,
2008/09,0-4,Seizures,128,
2008/09,0-4,Hand Injury (Unspecified),111,
2008/09,0-4,Abdominal Pain (Unspecified),103,
2008/09,0-4,Burns,91,
2008/09,0-4,Toxicology Other - Not Drug Abuse/Accid Overdose,86,
2008/09,100+,Fracture +/- Dislocation (Unspecified),6,
2008/09,100+,Medical Admission Other,4,
2008/09,100+,Wounds (Unspecified),3,
2008/09,100+,Abdominal Pain (Unspecified),2,
2008/09,100+,Epistaxis,2,
2008/09,100+,Head Injury (Unspecified),2,
2008/09,100+,Respiratory Other,1,
2008/09,100+,Urinary Retention,1,
2008/09,100+,Back Pain (Non Specific),1,
2008/09,100+,Chest Injury (Unspecified),1,
2008/09,100+,Superficial injuries,1,
2008/09,100+,Upper Limb Elbow and Forearm,1,
2008/09,100+,Limb Injury Other (Unspec.),1,
2008/09,Oct-14,Limb Injury Other (Unspec.),921,
2008/09,Oct-14,Fracture +/- Dislocation (Unspecified),503,
2008/09,Oct-14,Orthopaedic/Musculoskeletal Other,432,
2008/09,Oct-14,Wounds (Unspecified),350,
2008/09,Oct-14,Paediatric Other,320,
2008/09,Oct-14,Hand Injury (Unspecified),298,
2008/09,Oct-14,Abdominal Pain (Unspecified),292,
2008/09,Oct-14,Other No Code Suitable,180,
2008/09,Oct-14,Head Injury (Unspecified),142,
2008/09,Oct-14,Superficial injuries,101,
2008/09,Oct-14,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),88,
2008/09,Oct-14,Asthma,80,
2008/09,Oct-14,Medical Admission Other,75,
